example_id,task_type,answer_type,prompt,prompt_chars,prompt_words,question_start,num_numbers,has_math_symbols,has_code_like_text,question_mark_count,capitalized_word_count,contains_parenthesis,contains_quote,has_comparison_word,has_negation_word,has_quantity_word,cheap_answer_chars,cheap_answer_words,cheap_parsed_answer,cheap_contains_uncertainty,cheap_self_confidence,cheap_sample_agreement,gemini_flash_lite_correct,gemini_flash_lite_cost,gemini_flash_correct,gemini_flash_cost,mistral_nemo_correct,mistral_nemo_cost,qwen_30b_correct,qwen_30b_cost,llama_70b_correct,llama_70b_cost,deepseek_v3_correct,deepseek_v3_cost,ring_1t_correct,ring_1t_cost,minimax_m3_correct,minimax_m3_cost,granite_8b_correct,granite_8b_cost,step_flash_correct,step_flash_cost
sciq_00064,science,choice,"Drinking too much water too fast can lead to what potentially fatal condition, which causes dangerous changes to salt levels?
A. osmosis
B. inebriation
C. water intoxication
D. drowning",185,29,drinking,0,0,0,1,1,0,0,0,0,0,507,73,other,0,-1.0,1.0,1,9.45e-05,1,0.0002553,0,5.12e-06,1,2.17e-05,1,4.417e-05,1,6.79e-05,1,4.9125e-05,1,0.00010122,1,1.585e-05,0,0.0002054
sciq_00033,science,choice,"The spinal cord develops, cells making up the wall of the neural tube proliferate and differentiate into what?
A. muscles and glia
B. membrane and glia
C. jelly and glia
D. neurons and glia",189,34,the,0,0,0,1,1,0,0,0,0,0,468,70,other,0,-1.0,1.0,1,9.875e-05,1,0.0001421,1,6e-06,1,3.497e-05,1,0.0001491,1,6e-05,1,9.8875e-05,1,0.00016158,1,1.47e-05,0,0.0002066
sciq_00090,science,choice,"Where does much of the blood that enters the atria flow?
A. muscles
B. lungs
C. arteries
D. ventricles",102,19,where,0,0,0,1,1,0,0,0,0,0,446,78,other,0,-1.0,1.0,1,0.00010175,1,0.0001567,0,4.5e-06,1,2.05e-05,1,4.718e-05,1,5.225e-05,1,4.8075e-05,1,0.00018324,1,1.56e-05,0,0.0002028
mmlu_humanities_00034_philosophy,humanities,choice,"Hobbes defines injustice as:
A. taking more than one’s share of a good.
B. failure to perform one’s covenant.
C. treating another person as a mere means.
D. violating a law of nature.",183,35,hobbes,0,0,0,0,1,0,0,1,0,0,549,88,other,0,-1.0,1.0,1,8.6e-05,1,0.0001555,0,4.28e-06,1,3.026e-05,1,5.409e-05,1,5.918e-05,1,0.000100825,1,0.0001542,1,1.715e-05,0,0.0002064
strategyqa_b65adb5caa4f7a207879,commonsense,yesno,Are tampons a good 24 hour solution for mentruation? Answer yes or no.,70,13,are,1,0,0,1,2,0,0,0,1,0,437,66,no,0,-1.0,1.0,1,9.45e-05,1,0.0001141,1,2.94e-06,1,2.067e-05,1,3.767e-05,1,4.175e-05,1,9.1175e-05,1,0.00015984,1,1.315e-05,0,0.0001992
gsm8k_00087,math,number,"In a survey about the student's favorite sports, 40% said they like basketball, 10% like chess, 28% like soccer, and the rest said they like badminton. If 250 students were interviewed, how many students identified chess or basketball as their favorite sport?",259,43,in,4,0,0,1,2,0,1,0,0,1,370,61,other,0,-1.0,1.0,1,0.00015725,1,0.0001189,0,3.74e-06,1,1.59044e-05,1,3.328e-05,1,5.5904e-05,1,9.175e-05,1,0.00015066,1,1.545e-05,1,0.00017785
sciq_00039,science,choice,"Cells with different functions often differ in what physical property?
A. weight
B. shape
C. size
D. density",108,18,cells,0,0,0,1,1,0,0,1,0,0,397,57,other,0,-1.0,1.0,1,0.0001145,1,0.0002308,0,3.92e-06,1,1.19604e-05,1,4.77e-05,1,5.136e-05,0,0.000108475,1,0.00014874,1,1.19e-05,0,0.0002022
sciq_00123,science,choice,"What organism constitutes frothy green ""pond scum""?
A. sponges
B. protozoa
C. bacteria
D. algae",95,15,what,0,0,0,1,1,0,1,0,0,0,375,53,other,0,-1.0,1.0,1,0.0001025,1,0.0001908,1,3.38e-06,1,2.72e-05,1,2.604e-05,1,6.227e-05,0,0.0001087,1,7.026e-05,1,1.37e-05,0,0.0002028
strategyqa_385edf4addbd69573540,commonsense,yesno,Is the foot part of the metric system? Answer yes or no.,56,12,is,0,0,0,1,2,0,0,0,1,0,261,43,no,0,-1.0,1.0,1,7.35e-05,1,0.0001123,1,3.02e-06,1,6.986e-06,1,2.43e-05,1,3.256e-05,1,7.76e-05,1,0.00012474,1,9.4e-06,0,0.0001982
sciq_00158,science,choice,"Animals can not produce their own food making them _________.
A. autotrophs
B. photoreliant
C. heterotrophs
D. omnivores",120,18,animals,0,0,0,0,1,0,0,0,1,0,216,31,other,0,-1.0,1.0,1,7.6e-05,1,0.0001804,1,2.77e-06,1,9.5996e-06,1,0.000162,1,4.225e-05,1,7.235e-05,1,0.00020286,1,9.95e-06,0,0.0002036
strategyqa_4fe90b9eab197be78729,commonsense,yesno,Was ethanol beneficial to Jack Kerouac's health? Answer yes or no.,66,12,was,0,0,0,1,4,0,1,0,1,0,389,55,no,0,-1.0,1.0,1,9.1e-05,1,0.0001557,0,3.74e-06,1,9.8172e-06,1,3.66e-05,1,4.407e-05,1,0.000107125,1,0.00018264,1,1.14e-05,0,0.0001986
sciq_00014,science,choice,"What type of shots do people with allergy get?
A. booster shots
B. allergy shots
C. flu shots
D. nasal shots",108,21,what,0,0,0,1,1,0,0,0,0,0,350,49,other,0,-1.0,1.0,1,8.25e-05,1,0.0001392,1,4.7e-06,1,1.846e-05,1,2.328e-05,1,5.025e-05,1,6.3075e-05,1,9.444e-05,1,1.195e-05,0,0.0002028
mmlu_humanities_00123_high_school_world_history,humanities,choice,"This question refers to the following information.
""The real grievance of the worker is the insecurity of his existence; he is not sure that he will always have work, he is not sure that he will always be healthy, and he foresees that he will one day be old and unfit to work. If he falls into poverty, even if only through a prolonged illness, he is then completely helpless, exam_ins to his own devices, and society does not currently recognize any real obligation towards him beyond the usual help for the poor, even if he has been working all the time ever so faithfully and diligently. The usual help for the poor, however, leaves a lot to be desired, especially in large cities, where it is very much worse than in the country.""
Otto von Bismarck, 1884
The long-term effects of Otto von Bismarck's speech include which of the following?
A. Development of socialized programs throughout much of Europe
B. Disunity of the German states
C. Communist overhaul of the eastern parts of Germany
D. A decrease in German economic output",1033,184,this,1,1,0,1,16,0,1,1,1,1,591,89,other,0,-1.0,1.0,1,0.00015825,1,0.0002152,1,4.83e-05,1,2.43384e-05,1,5.957e-05,1,0.00010226,0,0.000123625,1,0.00012132,1,2.61e-05,0,0.0002406
mmlu_humanities_00049_world_religions,humanities,choice," To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?
A. The Buddha
B. Laozi
C. The Queen Mother of the West
D. Confucius",150,30,to,0,0,0,1,11,0,0,0,0,0,827,127,other,0,-1.0,1.0,1,0.0001345,1,0.0002075,0,4.4e-06,1,3.896e-05,1,5.53e-05,1,9.579e-05,0,0.000109675,0,0.0002115,0,2.17e-05,0,0.000205
gsm8k_00109,math,number,Joel’s garden is 64 square feet large. He wants to use half of the garden for fruits and half of the garden for vegetables. He wants to use a quarter of the fruit section for strawberries. How many square feet of the garden will be used for strawberries?,254,49,joel,1,0,0,1,4,0,0,0,0,1,267,47,other,0,-1.0,1.0,1,0.00011375,1,0.0001643,1,4.16e-06,1,2.87e-05,1,3.857e-05,1,6.4272e-05,1,0.000101775,1,8.094e-05,1,1.35e-05,0,0.0002062
gsm8k_00075,math,number,"The state of Virginia had 3.79 inches of rain in March, 4.5 inches of rain in April, 3.95 inches of rain in May, 3.09 inches of rain in June and 4.67 inches in July.  What is the average rainfall amount, in inches, in Virginia?",227,49,the,5,0,0,1,9,0,0,0,0,0,409,78,other,0,-1.0,1.0,1,0.00014725,1,0.0001463,0,2.925e-05,1,3.56e-05,1,5.5135e-05,1,4.458e-05,0,0.0001111,0,0.00021252,0,1.865e-05,0,0.0002084
mmlu_humanities_00099_world_religions,humanities,choice,"For whom are the Hindu Vedas most significant?
A. Brahmins
B. Kshatriyas
C. Shiva
D. Yogis",90,16,for,0,0,0,1,7,0,0,1,0,0,550,86,other,0,-1.0,1.0,1,8.35e-05,1,0.0001864,1,6.58e-06,1,2.358e-05,1,2.828e-05,1,4.843e-05,0,0.00010885,1,0.00015834,1,1.635e-05,0,0.0002034
mmlu_social_science_00153_sociology,social_science,choice,"In their study of depression, Brown & Harris (1978) found that:
A. women's susceptibility to stress depended on their levels of social support
B. self-reported depression is highest amongst men and the relatively affluent
C. men and women have fairly similar levels of diagnosed depression
D. men are more vulnerable to depression because of conventional gender roles",367,58,in,1,1,0,0,3,1,1,1,0,0,692,107,other,0,-1.0,1.0,1,0.000123,1,0.0001836,1,4.18e-06,1,1.66316e-05,1,5.493e-05,1,8.316e-05,0,0.00011215,1,0.00022974,1,1.97e-05,0,0.0002116
mmlu_humanities_00042_high_school_world_history,humanities,choice,"This question refers to the following information.
Source 1:
""You may well ask: ""Why direct action? Why sit-ins, marches and so forth? Isn't negotiation a better path?"" You are quite right in calling, for negotiation. Indeed, this is the very purpose of direct action. Nonviolent direct action seeks to create such a crisis and foster such a tension that a community which has constantly refused to negotiate is forced to confront the issue. It seeks so to dramatize the issue that it can no longer be ignored. My citing the creation of tension as part of the work of the nonviolent-resister may sound rather shocking. But I must confess that I am not afraid of the word ""tension."" I have earnestly opposed violent tension, but there is a type of constructive, nonviolent tension which is necessary for growth. Just as Socrates felt that it was necessary to create a tension in the mind so that individuals could rise from the bondage of myths and half-truths to the unfettered realm of creative analysis and objective appraisal, we must we see the need for nonviolent gadflies to create the kind of tension in society that will help men rise from the dark depths of prejudice and racism to the majestic heights of understanding and brotherhood.""
Martin Luther King, Jr., Letter from a Birmingham Jail, 1966
Source 2:
""We, men and women, who hereby constitute ourselves as the National Organization for Women, believe that the time has come for a new movement toward true equality for all women in America, and toward a fully equal partnership of the sexes, as part of the world-wide revolution of human rights now taking place within and beyond our national borders.
The purpose of NOW is to take action to bring women into full participation in the mainstream of American society now, exercising all the privileges and responsibilities thereof in truly equal partnership with men.
We believe the time has come to move beyond the abstract argument, discussion and symposia over the status and special nature of women which has raged in America in recent years; the time has come to confront, with concrete action, the conditions that now prevent women from enjoying the equality of opportunity and freedom of which is their right, as individual Americans, and as human beings.""
National Organization for Women, Statement of Purpose, 1966
Source 3:
""The long-term goal of Gay Liberation, which inevitably brings us into conflict with the institutionalized sexism of this society, is to rid society of the gender-role system which is at the root of our oppression. This can only be achieved by eliminating the social pressures on men and women to conform to narrowly defined gender roles. It is particularly important that children and young people be encouraged to develop their own talents and interests and to express their own individuality rather than act out stereotyped parts alien to their nature.
As we cannot carry out this revolutionary change alone, and as the abolition of gender rotes is also a necessary condition of women's liberation, we will work to form a strategic alliance with the women's liberation movement, aiming to develop our ideas and our practice in close inter-relation. In order to build this alliance, the brothers in gay liberation will have to be prepared to sacrifice that degree of male chauvinism and male privilege that they still all possess.""
Gay Liberation Front, Manifesto, 1971
The author of Source 1 endorses which of the following tactics as a means of achieving his aims?
A. Violent overthrow of the government
B. Nonviolent resistance
C. Appeasement
D. Legal action",3612,610,this,7,1,0,4,55,0,1,1,1,1,444,64,other,0,-1.0,1.0,1,0.00027025,1,0.0003969,1,1.812e-05,1,4.3722e-05,1,0.0001293,1,0.00023925,0,0.00016225,1,0.00044304,1,4.9e-05,1,0.00027335
strategyqa_4148e19a53dfbb020484,commonsense,yesno,Are there bones in an anchovy pizza? Answer yes or no.,54,11,are,0,0,0,1,2,0,0,0,1,0,264,45,yes,0,-1.0,1.0,1,6.45e-05,1,0.0001498,1,3.62e-06,1,8.5304e-06,1,3.94e-05,1,4.922e-05,0,0.000106975,0,0.00023514,1,9.7e-06,0,0.0001982
mmlu_humanities_00087_philosophy,humanities,choice,"Anscombe claims that it is not profitable to do moral philosophy until we have an adequate philosophy of:
A. religion.
B. physics.
C. psychology.
D. art.",153,26,anscombe,0,0,0,0,1,0,0,0,1,0,489,72,other,0,-1.0,1.0,1,0.00016425,1,0.0001872,0,4.72e-06,1,1.40616e-05,1,3.832e-05,1,5.945e-05,0,0.00010945,1,0.00020424,1,1.385e-05,0,0.000204
