example_id,task_type,answer_type,prompt,answer
4b2e265815601bfa4152,strategyqa,yesno,Is it difficult to conduct astrophotography in the summer in Sweden? Answer yes or no.,yes
289c2f15051024b8b27f,strategyqa,yesno,Was milliner in Alice in Wonderland (1951 film) likely in need of succimer? Answer yes or no.,yes
60aa0b975babf5475cf1,strategyqa,yesno,Was story of Jesus inspired by Egyptian myth? Answer yes or no.,yes
904898291b7b33f260e7,strategyqa,yesno,Would Jacques Duèze have been friends with Richard Dawkins? Answer yes or no.,no
ad97256b5f0ab80b948a,strategyqa,yesno,Are parodies of the President of the United States illegal? Answer yes or no.,no
519626e90b19ecb3886f,strategyqa,yesno,Will Donald Duck hypothetically purchase bell-bottoms for himself? Answer yes or no.,no
02f5f11bf98632578d50,strategyqa,yesno,Can the Great Depression be treated with Prozac? Answer yes or no.,no
378926a5a2874aa941a9,strategyqa,yesno,Would J.K Rowling's top sellers be on a fantasy shelf? Answer yes or no.,yes
b65adb5caa4f7a207879,strategyqa,yesno,Are tampons a good 24 hour solution for mentruation? Answer yes or no.,no
4148e19a53dfbb020484,strategyqa,yesno,Are there bones in an anchovy pizza? Answer yes or no.,yes
31328c97391c0e047f44,strategyqa,yesno,Are there five different single-digit Fibonacci numbers? Answer yes or no.,yes
033f7214d9f1aeddb04e,strategyqa,yesno,Is Olivia Newton-John hyphenated celebrity name with most letters? Answer yes or no.,no
b07fd13daa6e17e6273c,strategyqa,yesno,Is a pottery kiln inappropriate for use with glass blowing? Answer yes or no.,no
ca09aea1e9589ef40c61,strategyqa,yesno,Would the Titanic be well preserved at the bottom of the Gulf of Finland? Answer yes or no.,yes
faf10ced482aedfe9c58,strategyqa,yesno,Are there enough Jonny Cash records in the world to give one to each French citizen? Answer yes or no.,yes
09348bfb96097f3b4a99,strategyqa,yesno,Is Mickey Mouse hypothetically unlikely to make a purchase at Zazzle? Answer yes or no.,yes
069c88860654c9c5df0b,strategyqa,yesno,Can a sea turtle play tennis using a tennis racket? Answer yes or no.,no
fab08cce89ad00ba8339,strategyqa,yesno,Are multiple Christmas Carol's named after Saints? Answer yes or no.,yes
bbf5422e2b837a2e1ff6,strategyqa,yesno,Could B be mistaken for an Arabic numeral? Answer yes or no.,yes
1cd4ba0baee559bf7a0f,strategyqa,yesno,Do white blood cells outnumber red blood cells in the human body? Answer yes or no.,no
38a0f2619ec98ba7fbd5,strategyqa,yesno,Would a binge watch of entire Young and the Restless take longer than a leap year? Answer yes or no.,yes
ccb63564094c6ff09a14,strategyqa,yesno,Does Julia Roberts lose the prolific acting contest in her family? Answer yes or no.,yes
9a1bf03a1359fa94eb7c,strategyqa,yesno,Is a krabby patty similar to a cheeseburger? Answer yes or no.,yes
47cb228abaa8a8106df9,strategyqa,yesno,Was Hundred Years' War a misnomer? Answer yes or no.,yes
6296b8c3a16680a826eb,strategyqa,yesno,Does a Generation Y member satisfy NYPD police officer age requirement? Answer yes or no.,yes
b4c61fdd96959a52f996,strategyqa,yesno,Would the tunnels at CERN fit onto the High Speed 1 rails? Answer yes or no.,yes
29cbf28f323d10a53c4d,strategyqa,yesno,Would ramen be bad for someone with heart failure? Answer yes or no.,yes
cb08864902f07be76e77,strategyqa,yesno,Do Flat Earthers doubt the existence of Earth's magnetic field? Answer yes or no.,yes
aeea08d186f49c455038,strategyqa,yesno,Can you use the T-Mobile tuesdays app if you aren't a T-Mobile customer? Answer yes or no.,no
3a0a8c5869df571f0b93,strategyqa,yesno,Has Billy Joel sold out Astana Arena? Answer yes or no.,no
40b7c34188d5b36bc486,strategyqa,yesno,Can Lamborghini's fastest model win a race against a Porsche 911? Answer yes or no.,yes
dfdc7f7197f90ec78844,strategyqa,yesno,Did Julius Caesar read books on Pharmacology? Answer yes or no.,no
c2c6e32ccdd81e5df7f6,strategyqa,yesno,Would Jimmy Vee be eligible to compete in the Paralympic Games? Answer yes or no.,yes
af6afbc6da7065d522ee,strategyqa,yesno,Is Ludacris in same music genre as 2000's Binaural? Answer yes or no.,no
26aefc40b2d04ca6b78b,strategyqa,yesno,Is xenophobia hypothetically unimportant between Saladin and Ali Askari? Answer yes or no.,yes
f66cf3ddea2d87e8e572,strategyqa,yesno,Would Lee Sedol understand the complexities of the Sicilian Defence? Answer yes or no.,no
f07a6acf27e25dedbb8d,strategyqa,yesno,Does Andrew Johnson's presidential number exceed Elagabalus's Emperor number? Answer yes or no.,no
b528be028d2232b34887,strategyqa,yesno,Would a lullaby be enough to wake Hellen Keller up? Answer yes or no.,no
a6f593e93ca87c53a0a1,strategyqa,yesno,Does crucifixion violate US eighth amendment? Answer yes or no.,yes
2e80843bfed38cc06df2,strategyqa,yesno,Is letter C crucial to spelling the two most common words in English language? Answer yes or no.,no
d8ba1dd2575be52d80be,strategyqa,yesno,Are peaches best eaten when firm? Answer yes or no.,no
a9d3a5f8cd6eb6b2c19a,strategyqa,yesno,Can Spartina Patens thrive in the Sahara Desert? Answer yes or no.,no
404ab9200fe1935e7f4c,strategyqa,yesno,"Is an inappropriate lullaby Love Song from November 11, 2000? Answer yes or no.",yes
29551a9093ea19c1e7c3,strategyqa,yesno,Would 1996 leap year baby technically be 1 year old in 2000? Answer yes or no.,yes
d47c38cb1ab436fe2f64,strategyqa,yesno,Could all of the 2008 Summer Olympics women find a hookup athlete partner? Answer yes or no.,yes
3ae8644164c547560eda,strategyqa,yesno,Was King Arthur at the beheading of Anne Boleyn? Answer yes or no.,no
7dc74fd9b62e514750c2,strategyqa,yesno,Are queen bees unnecessary for growing apples? Answer yes or no.,yes
86b893746c5eeece6760,strategyqa,yesno,Would Michael Phelps be good at pearl hunting? Answer yes or no.,yes
2b5b926a732d43620065,strategyqa,yesno,"During the time immediately after 9/11, was don't ask don't tell still in place? Answer yes or no.",yes
f6184f20db14b18f1401,strategyqa,yesno,Did Hamlet's author use email? Answer yes or no.,no
ee95615e3dafa5e19020,strategyqa,yesno,Is watching  Star Wars necessary to know who Darth Vader is? Answer yes or no.,no
d0ed74f42be54dc99ec5,strategyqa,yesno,Could a dichromat probably easily distinguish chlorine gas from neon gas? Answer yes or no.,no
1eb8a833f2f5f1698b52,strategyqa,yesno,Are Tom and Jerry featured in a ride at Disneyland? Answer yes or no.,no
ba8d04adf8848e0d28a7,strategyqa,yesno,"If he were poor, would Christopher Reeve have lived? Answer yes or no.",no
a076d2cbd7e4eafad35b,strategyqa,yesno,Does The Jungle Book contain racist subtext? Answer yes or no.,yes
341375fa1c7cb93278f5,strategyqa,yesno,Would 7 zucchini's satisfy potassium USDA daily recommendation? Answer yes or no.,yes
6fe2a7efe785ac391298,strategyqa,yesno,Is Norman Oklahoma named after a viking? Answer yes or no.,no
d513fadf58cbb9cd1d9d,strategyqa,yesno,Are the founders of Skype from Asia? Answer yes or no.,no
2e1482cb04970fe7c449,strategyqa,yesno,Did Richard III know his grandson? Answer yes or no.,no
45c4f7aad64b5fdd76e9,strategyqa,yesno,Would a Rockette look odd with a moustache?  Answer yes or no.,yes
6662006c915a62db5a89,strategyqa,yesno,Is Hamlet more common on IMDB than Comedy of Errors? Answer yes or no.,yes
1d923b8a2778448a9716,strategyqa,yesno,Should cactus soil always be damp? Answer yes or no.,no
7d6b8191f43b8526074e,strategyqa,yesno,Will Chick Fil A be open on Halloween 2021? Answer yes or no.,no
310968736449680ee61e,strategyqa,yesno,Would Emma Roberts's Nancy Drew be considered a private investigator? Answer yes or no.,no
89da908a20fe2c0cc7b1,strategyqa,yesno,Was The Great Gatsby inspired by the novel 1984? Answer yes or no.,no
0dd4ab1e6386856acf76,strategyqa,yesno,Will NY Stock Exchange closing bell be heard in Universal Music Group's headquarters? Answer yes or no.,no
c7a1cb4992a5eafa99ec,strategyqa,yesno,Would a Bengal cat be afraid of catching a fish? Answer yes or no.,no
1bed1742cceb9b51f41d,strategyqa,yesno,Would Eye surgery on a fly be in vain? Answer yes or no.,yes
