group,models,seed,policy,accuracy,avg_cost,utility,regret,cost_weight,route_acc
middle_cost,"qwen_235b,llama_70b,deepseek_v3",229,always_qwen_235b,0.896,4.10186e-05,0.896,0.064,0.0,0.936
middle_cost,"qwen_235b,llama_70b,deepseek_v3",229,always_llama_70b,0.888,4.769864000000001e-05,0.888,0.072,0.0,0.056
middle_cost,"qwen_235b,llama_70b,deepseek_v3",229,always_deepseek_v3,0.872,7.173344e-05,0.872,0.088,0.0,0.008
middle_cost,"qwen_235b,llama_70b,deepseek_v3",229,random,0.904,5.724446399999999e-05,0.904,0.056,0.0,0.264
middle_cost,"qwen_235b,llama_70b,deepseek_v3",229,oracle,0.96,4.1088024e-05,0.96,0.0,0.0,1.0
middle_cost,"qwen_235b,llama_70b,deepseek_v3",229,logistic_router,0.888,4.5139328e-05,0.888,0.072,0.0,0.736
middle_cost,"qwen_235b,llama_70b,deepseek_v3",229,random_forest_router,0.864,4.240662e-05,0.864,0.096,0.0,0.84
middle_cost,"qwen_235b,llama_70b,deepseek_v3",229,tfidf_logistic_router,0.88,4.376244800000001e-05,0.88,0.08,0.0,0.832
middle_cost,"qwen_235b,llama_70b,deepseek_v3",230,always_qwen_235b,0.92,4.760200399999999e-05,0.92,0.064,0.0,0.936
middle_cost,"qwen_235b,llama_70b,deepseek_v3",230,always_llama_70b,0.904,5.2859176e-05,0.904,0.08,0.0,0.048
middle_cost,"qwen_235b,llama_70b,deepseek_v3",230,always_deepseek_v3,0.904,6.9539296e-05,0.904,0.08,0.0,0.016
middle_cost,"qwen_235b,llama_70b,deepseek_v3",230,random,0.936,5.4723176e-05,0.936,0.048,0.0,0.392
middle_cost,"qwen_235b,llama_70b,deepseek_v3",230,oracle,0.984,4.944269999999999e-05,0.984,0.0,0.0,1.0
middle_cost,"qwen_235b,llama_70b,deepseek_v3",230,logistic_router,0.912,4.9769316e-05,0.912,0.072,0.0,0.808
middle_cost,"qwen_235b,llama_70b,deepseek_v3",230,random_forest_router,0.896,4.962679599999999e-05,0.896,0.088,0.0,0.848
middle_cost,"qwen_235b,llama_70b,deepseek_v3",230,tfidf_logistic_router,0.92,4.7526003999999996e-05,0.92,0.064,0.0,0.872
middle_cost,"qwen_235b,llama_70b,deepseek_v3",231,always_qwen_235b,0.888,4.208999199999999e-05,0.888,0.064,0.0,0.936
middle_cost,"qwen_235b,llama_70b,deepseek_v3",231,always_llama_70b,0.888,5.057821599999999e-05,0.888,0.064,0.0,0.048
middle_cost,"qwen_235b,llama_70b,deepseek_v3",231,always_deepseek_v3,0.856,6.8999472e-05,0.856,0.096,0.0,0.016
middle_cost,"qwen_235b,llama_70b,deepseek_v3",231,random,0.872,5.615843599999999e-05,0.872,0.08,0.0,0.256
middle_cost,"qwen_235b,llama_70b,deepseek_v3",231,oracle,0.952,4.2866392e-05,0.952,0.0,0.0,1.0
middle_cost,"qwen_235b,llama_70b,deepseek_v3",231,logistic_router,0.888,4.5431048e-05,0.888,0.064,0.0,0.696
middle_cost,"qwen_235b,llama_70b,deepseek_v3",231,random_forest_router,0.872,4.3798552e-05,0.872,0.08,0.0,0.744
middle_cost,"qwen_235b,llama_70b,deepseek_v3",231,tfidf_logistic_router,0.88,4.351880799999999e-05,0.88,0.072,0.0,0.816
middle_cost,"qwen_235b,llama_70b,deepseek_v3",232,always_qwen_235b,0.936,4.7615416e-05,0.936,0.04,0.0,0.96
middle_cost,"qwen_235b,llama_70b,deepseek_v3",232,always_llama_70b,0.912,4.825988e-05,0.912,0.064,0.0,0.04
middle_cost,"qwen_235b,llama_70b,deepseek_v3",232,always_deepseek_v3,0.896,7.1520128e-05,0.896,0.08,0.0,0.0
middle_cost,"qwen_235b,llama_70b,deepseek_v3",232,random,0.952,5.204376799999999e-05,0.952,0.024,0.0,0.336
middle_cost,"qwen_235b,llama_70b,deepseek_v3",232,oracle,0.976,4.7712352e-05,0.976,0.0,0.0,1.0
middle_cost,"qwen_235b,llama_70b,deepseek_v3",232,logistic_router,0.92,5.0644756e-05,0.92,0.056,0.0,0.624
middle_cost,"qwen_235b,llama_70b,deepseek_v3",232,random_forest_router,0.912,4.9043731999999993e-05,0.912,0.064,0.0,0.808
middle_cost,"qwen_235b,llama_70b,deepseek_v3",232,tfidf_logistic_router,0.92,4.7722392e-05,0.92,0.056,0.0,0.808
middle_cost,"qwen_235b,llama_70b,deepseek_v3",233,always_qwen_235b,0.912,4.258162399999999e-05,0.912,0.048,0.0,0.952
middle_cost,"qwen_235b,llama_70b,deepseek_v3",233,always_llama_70b,0.872,5.3442104e-05,0.872,0.088,0.0,0.04
middle_cost,"qwen_235b,llama_70b,deepseek_v3",233,always_deepseek_v3,0.912,6.7635184e-05,0.912,0.048,0.0,0.008
middle_cost,"qwen_235b,llama_70b,deepseek_v3",233,random,0.912,5.0186384e-05,0.912,0.048,0.0,0.352
middle_cost,"qwen_235b,llama_70b,deepseek_v3",233,oracle,0.96,4.3450951999999997e-05,0.96,0.0,0.0,1.0
middle_cost,"qwen_235b,llama_70b,deepseek_v3",233,logistic_router,0.904,4.8935888e-05,0.904,0.056,0.0,0.616
middle_cost,"qwen_235b,llama_70b,deepseek_v3",233,random_forest_router,0.92,4.412322e-05,0.92,0.04,0.0,0.832
middle_cost,"qwen_235b,llama_70b,deepseek_v3",233,tfidf_logistic_router,0.912,4.3564655999999986e-05,0.912,0.048,0.0,0.872
higher_accuracy,"qwen_235b,gemini_flash,llama_70b,deepseek_v3",229,always_qwen_235b,0.896,4.10186e-05,0.896,0.08,0.0,0.92
higher_accuracy,"qwen_235b,gemini_flash,llama_70b,deepseek_v3",229,always_gemini_flash,0.864,0.0001908728,0.864,0.112,0.0,0.056
higher_accuracy,"qwen_235b,gemini_flash,llama_70b,deepseek_v3",229,always_llama_70b,0.888,4.769864000000001e-05,0.888,0.088,0.0,0.016
higher_accuracy,"qwen_235b,gemini_flash,llama_70b,deepseek_v3",229,always_deepseek_v3,0.872,7.173344e-05,0.872,0.104,0.0,0.008
higher_accuracy,"qwen_235b,gemini_flash,llama_70b,deepseek_v3",229,random,0.872,8.114970400000001e-05,0.872,0.104,0.0,0.208
