policy,accuracy,avg_cost,utility,regret,route_acc,group,models,seed
always_gemini_flash_lite,0.9238578680203046,0.00011875888324873097,0.9238578680203046,0.02030456852791878,0.9796954314720813,2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",229
always_qwen_30b,0.883248730964467,2.4050889340101523e-05,0.883248730964467,0.06091370558375635,0.02030456852791878,2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",229
oracle,0.9441624365482234,0.00011601099695431473,0.9441624365482234,0.0,1.0,2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",229
random,0.9035532994923858,6.888950659898476e-05,0.9035532994923858,0.04060913705583756,0.4720812182741117,2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",229
correctness_logistic,0.9035532994923858,8.450798984771572e-05,0.9035532994923858,0.04060913705583756,0.5939086294416244,2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",229
correctness_random_forest,0.9137055837563451,8.300667005076141e-05,0.9137055837563451,0.030456852791878174,0.5532994923857868,2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",229
correctness_extra_trees,0.9137055837563451,7.379799796954316e-05,0.9137055837563451,0.030456852791878174,0.49238578680203043,2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",229
correctness_tfidf_logistic,0.9035532994923858,8.376208527918782e-05,0.9035532994923858,0.04060913705583756,0.5939086294416244,2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",229
always_gemini_flash_lite,0.9593908629441624,0.00012148604060913703,0.9593908629441624,0.02030456852791878,0.9796954314720813,2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",230
always_qwen_30b,0.9187817258883249,2.5177516751269037e-05,0.9187817258883249,0.06091370558375635,0.02030456852791878,2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",230
oracle,0.9796954314720813,0.00011917422538071066,0.9796954314720813,0.0,1.0,2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",230
random,0.9390862944162437,7.696675736040609e-05,0.9390862944162437,0.04060913705583756,0.5076142131979695,2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",230
correctness_logistic,0.9289340101522843,7.320864162436549e-05,0.9289340101522843,0.050761421319796954,0.467005076142132,2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",230
