group,models,seed,policy,accuracy,avg_cost,utility,regret,cost_weight,route_acc
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",229,always_qwen_235b,0.896,4.10186e-05,0.896,0.064,0.0,0.936
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",229,always_llama_70b,0.888,4.769864000000001e-05,0.888,0.072,0.0,0.056
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",229,always_deepseek_v3,0.872,7.173344e-05,0.872,0.088,0.0,0.008
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",229,random,0.904,5.724446399999999e-05,0.904,0.056,0.0,0.264
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",229,oracle,0.96,4.1088024e-05,0.96,0.0,0.0,1.0
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",229,logistic_router,0.888,4.4641896e-05,0.888,0.072,0.0,0.752
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",229,random_forest_router,0.888,4.1279152000000005e-05,0.888,0.072,0.0,0.928
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",229,tfidf_logistic_router,0.888,4.4361744e-05,0.888,0.072,0.0,0.832
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",230,always_qwen_235b,0.92,4.760200399999999e-05,0.92,0.064,0.0,0.936
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",230,always_llama_70b,0.904,5.2859176e-05,0.904,0.08,0.0,0.048
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",230,always_deepseek_v3,0.904,6.9539296e-05,0.904,0.08,0.0,0.016
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",230,random,0.936,5.4723176e-05,0.936,0.048,0.0,0.392
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",230,oracle,0.984,4.944269999999999e-05,0.984,0.0,0.0,1.0
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",230,logistic_router,0.92,4.8754396e-05,0.92,0.064,0.0,0.824
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",230,random_forest_router,0.928,4.7462299999999994e-05,0.928,0.056,0.0,0.92
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",230,tfidf_logistic_router,0.928,4.7519052e-05,0.928,0.056,0.0,0.864
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",231,always_qwen_235b,0.888,4.208999199999999e-05,0.888,0.064,0.0,0.936
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",231,always_llama_70b,0.888,5.057821599999999e-05,0.888,0.064,0.0,0.048
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",231,always_deepseek_v3,0.856,6.8999472e-05,0.856,0.096,0.0,0.016
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",231,random,0.872,5.615843599999999e-05,0.872,0.08,0.0,0.256
middle_cost_with_probe,"qwen_235b,llama_70b,deepseek_v3",231,oracle,0.952,4.2866392e-05,0.952,0.0,0.0,1.0
