group,models,best_fixed,fixed_acc,best_router,router_acc,gain,oracle_acc
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",always_deepseek_v3,0.9096446700507614,correctness_tfidf_logistic,0.9238578680203048,0.014213197969543345,0.9512690355329948
3model_llama_70b_deepseek_v3_granite_8b,"llama_70b,deepseek_v3,granite_8b",always_deepseek_v3,0.9096446700507614,correctness_tfidf_logistic,0.9137055837563453,0.004060913705583813,0.9593908629441624
3model_qwen_30b_llama_70b_deepseek_v3,"qwen_30b,llama_70b,deepseek_v3",always_deepseek_v3,0.9096446700507614,correctness_logistic,0.9126903553299492,0.003045685279187804,0.9624365482233502
2model_gemini_flash_lite_llama_70b,"gemini_flash_lite,llama_70b",always_gemini_flash_lite,0.9441624365482234,correctness_random_forest,0.9441624365482234,0.0,0.965482233502538
2model_qwen_30b_llama_70b,"qwen_30b,llama_70b",always_llama_70b,0.9055837563451776,correctness_logistic,0.9055837563451776,0.0,0.9482233502538072
2model_qwen_30b_deepseek_v3,"qwen_30b,deepseek_v3",always_deepseek_v3,0.9096446700507614,correctness_tfidf_logistic,0.9086294416243657,-0.0010152284263957867,0.9451776649746192
2model_qwen_30b_granite_8b,"qwen_30b,granite_8b",always_qwen_30b,0.9055837563451776,correctness_extra_trees,0.9035532994923856,-0.0020304568527920175,0.93502538071066
3model_qwen_30b_llama_70b_granite_8b,"qwen_30b,llama_70b,granite_8b",always_llama_70b,0.9055837563451776,correctness_tfidf_logistic,0.900507614213198,-0.0050761421319796,0.9624365482233502
2model_llama_70b_granite_8b,"llama_70b,granite_8b",always_llama_70b,0.9055837563451776,correctness_random_forest,0.900507614213198,-0.0050761421319796,0.9461928934010152
3model_qwen_30b_deepseek_v3_granite_8b,"qwen_30b,deepseek_v3,granite_8b",always_deepseek_v3,0.9096446700507614,correctness_extra_trees,0.9045685279187816,-0.005076142131979822,0.9573604060913704
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",always_deepseek_v3,0.9096446700507614,correctness_tfidf_logistic,0.9045685279187816,-0.005076142131979822,0.9411167512690356
3model_gemini_flash_lite_llama_70b_deepseek_v3,"gemini_flash_lite,llama_70b,deepseek_v3",always_gemini_flash_lite,0.9441624365482234,correctness_logistic,0.9380710659898478,-0.006091370558375608,0.9715736040609138
2model_gemini_flash_lite_deepseek_v3,"gemini_flash_lite,deepseek_v3",always_gemini_flash_lite,0.9441624365482234,correctness_tfidf_logistic,0.9380710659898478,-0.006091370558375608,0.9593908629441624
3model_gemini_flash_lite_qwen_30b_deepseek_v3,"gemini_flash_lite,qwen_30b,deepseek_v3",always_gemini_flash_lite,0.9441624365482234,correctness_tfidf_logistic,0.9309644670050762,-0.013197969543147225,0.9715736040609138
2model_gemini_flash_lite_granite_8b,"gemini_flash_lite,granite_8b",always_gemini_flash_lite,0.9441624365482234,correctness_random_forest,0.9289340101522844,-0.015228426395939021,0.9695431472081216
3model_gemini_flash_lite_qwen_30b_llama_70b,"gemini_flash_lite,qwen_30b,llama_70b",always_gemini_flash_lite,0.9441624365482234,correctness_random_forest,0.9279187817258884,-0.01624365482233503,0.9766497461928934
2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",always_gemini_flash_lite,0.9441624365482234,correctness_random_forest,0.9279187817258884,-0.01624365482233503,0.9695431472081216
3model_gemini_flash_lite_deepseek_v3_granite_8b,"gemini_flash_lite,deepseek_v3,granite_8b",always_gemini_flash_lite,0.9441624365482234,correctness_tfidf_logistic,0.9269035532994924,-0.01725888324873104,0.9715736040609138
3model_gemini_flash_lite_llama_70b_granite_8b,"gemini_flash_lite,llama_70b,granite_8b",always_gemini_flash_lite,0.9441624365482234,correctness_random_forest,0.9248730964467003,-0.019289340101523056,0.9725888324873097
3model_gemini_flash_lite_qwen_30b_granite_8b,"gemini_flash_lite,qwen_30b,granite_8b",always_gemini_flash_lite,0.9441624365482234,correctness_random_forest,0.9238578680203048,-0.02030456852791862,0.9766497461928934
