example_id,task_type,answer_type,prompt,answer
sciq_00033,science,choice,"The spinal cord develops, cells making up the wall of the neural tube proliferate and differentiate into what?
A. muscles and glia
B. membrane and glia
C. jelly and glia
D. neurons and glia",D
gsm8k_00087,math,number,"In a survey about the student's favorite sports, 40% said they like basketball, 10% like chess, 28% like soccer, and the rest said they like badminton. If 250 students were interviewed, how many students identified chess or basketball as their favorite sport?",125
sciq_00064,science,choice,"Drinking too much water too fast can lead to what potentially fatal condition, which causes dangerous changes to salt levels?
A. osmosis
B. inebriation
C. water intoxication
D. drowning",C
mmlu_humanities_00034_philosophy,humanities,choice,"Hobbes defines injustice as:
A. taking more than one’s share of a good.
B. failure to perform one’s covenant.
C. treating another person as a mere means.
D. violating a law of nature.",B
sciq_00090,science,choice,"Where does much of the blood that enters the atria flow?
A. muscles
B. lungs
C. arteries
D. ventricles",D
strategyqa_b65adb5caa4f7a207879,commonsense,yesno,Are tampons a good 24 hour solution for mentruation? Answer yes or no.,no
sciq_00039,science,choice,"Cells with different functions often differ in what physical property?
A. weight
B. shape
C. size
D. density",B
sciq_00123,science,choice,"What organism constitutes frothy green ""pond scum""?
A. sponges
B. protozoa
C. bacteria
D. algae",D
strategyqa_385edf4addbd69573540,commonsense,yesno,Is the foot part of the metric system? Answer yes or no.,no
sciq_00158,science,choice,"Animals can not produce their own food making them _________.
A. autotrophs
B. photoreliant
C. heterotrophs
D. omnivores",C
sciq_00014,science,choice,"What type of shots do people with allergy get?
A. booster shots
B. allergy shots
C. flu shots
D. nasal shots",B
strategyqa_4fe90b9eab197be78729,commonsense,yesno,Was ethanol beneficial to Jack Kerouac's health? Answer yes or no.,no
mmlu_humanities_00049_world_religions,humanities,choice," To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?
A. The Buddha
B. Laozi
C. The Queen Mother of the West
D. Confucius",C
gsm8k_00109,math,number,Joel’s garden is 64 square feet large. He wants to use half of the garden for fruits and half of the garden for vegetables. He wants to use a quarter of the fruit section for strawberries. How many square feet of the garden will be used for strawberries?,8
mmlu_humanities_00123_high_school_world_history,humanities,choice,"This question refers to the following information.
""The real grievance of the worker is the insecurity of his existence; he is not sure that he will always have work, he is not sure that he will always be healthy, and he foresees that he will one day be old and unfit to work. If he falls into poverty, even if only through a prolonged illness, he is then completely helpless, exam_ins to his own devices, and society does not currently recognize any real obligation towards him beyond the usual help for the poor, even if he has been working all the time ever so faithfully and diligently. The usual help for the poor, however, leaves a lot to be desired, especially in large cities, where it is very much worse than in the country.""
Otto von Bismarck, 1884
The long-term effects of Otto von Bismarck's speech include which of the following?
A. Development of socialized programs throughout much of Europe
B. Disunity of the German states
C. Communist overhaul of the eastern parts of Germany
D. A decrease in German economic output",A
gsm8k_00075,math,number,"The state of Virginia had 3.79 inches of rain in March, 4.5 inches of rain in April, 3.95 inches of rain in May, 3.09 inches of rain in June and 4.67 inches in July.  What is the average rainfall amount, in inches, in Virginia?",4
mmlu_humanities_00099_world_religions,humanities,choice,"For whom are the Hindu Vedas most significant?
A. Brahmins
B. Kshatriyas
C. Shiva
D. Yogis",A
mmlu_social_science_00153_sociology,social_science,choice,"In their study of depression, Brown & Harris (1978) found that:
A. women's susceptibility to stress depended on their levels of social support
B. self-reported depression is highest amongst men and the relatively affluent
C. men and women have fairly similar levels of diagnosed depression
D. men are more vulnerable to depression because of conventional gender roles",A
