example_id,task_type,answer_type,prompt,prompt_chars,prompt_words,question_start,num_numbers,has_math_symbols,has_code_like_text,question_mark_count,capitalized_word_count,contains_parenthesis,contains_quote,has_comparison_word,has_negation_word,has_quantity_word,cheap_answer_chars,cheap_answer_words,cheap_parsed_answer,cheap_contains_uncertainty,cheap_self_confidence,cheap_sample_agreement,gemini_flash_lite_correct,gemini_flash_lite_cost,gemini_flash_correct,gemini_flash_cost,mistral_nemo_correct,mistral_nemo_cost,qwen_30b_correct,qwen_30b_cost,llama_70b_correct,llama_70b_cost,deepseek_v3_correct,deepseek_v3_cost,ring_1t_correct,ring_1t_cost,minimax_m3_correct,minimax_m3_cost,granite_8b_correct,granite_8b_cost,step_flash_correct,step_flash_cost
sciq_00064,science,choice,"Drinking too much water too fast can lead to what potentially fatal condition, which causes dangerous changes to salt levels?
A. osmosis
B. inebriation
C. water intoxication
D. drowning",185,29,drinking,0,0,0,1,1,0,0,0,0,0,361,58,other,0,-1.0,1.0,1,9.45e-05,1,0.0002553,0,5.12e-06,1,2.17e-05,1,4.417e-05,1,6.79e-05,1,4.9125e-05,1,0.00010122,1,1.585e-05,0,0.0002054
sciq_00033,science,choice,"The spinal cord develops, cells making up the wall of the neural tube proliferate and differentiate into what?
A. muscles and glia
B. membrane and glia
C. jelly and glia
D. neurons and glia",189,34,the,0,0,0,1,1,0,0,0,0,0,482,84,other,0,-1.0,1.0,1,9.875e-05,1,0.0001421,1,6e-06,1,3.497e-05,1,0.0001491,1,6e-05,1,9.8875e-05,1,0.00016158,1,1.47e-05,0,0.0002066
sciq_00090,science,choice,"Where does much of the blood that enters the atria flow?
A. muscles
B. lungs
C. arteries
D. ventricles",102,19,where,0,0,0,1,1,0,0,0,0,0,328,59,other,0,-1.0,1.0,1,0.00010175,1,0.0001567,0,4.5e-06,1,2.05e-05,1,4.718e-05,1,5.225e-05,1,4.8075e-05,1,0.00018324,1,1.56e-05,0,0.0002028
mmlu_humanities_00034_philosophy,humanities,choice,"Hobbes defines injustice as:
A. taking more than one’s share of a good.
B. failure to perform one’s covenant.
C. treating another person as a mere means.
D. violating a law of nature.",183,35,hobbes,0,0,0,0,1,0,0,1,0,0,297,51,other,0,-1.0,1.0,1,8.6e-05,1,0.0001555,0,4.28e-06,1,3.026e-05,1,5.409e-05,1,5.918e-05,1,0.000100825,1,0.0001542,1,1.715e-05,0,0.0002064
strategyqa_b65adb5caa4f7a207879,commonsense,yesno,Are tampons a good 24 hour solution for mentruation? Answer yes or no.,70,13,are,1,0,0,1,2,0,0,0,1,0,138,28,no,0,-1.0,1.0,1,9.45e-05,1,0.0001141,1,2.94e-06,1,2.067e-05,1,3.767e-05,1,4.175e-05,1,9.1175e-05,1,0.00015984,1,1.315e-05,0,0.0001992
gsm8k_00087,math,number,"In a survey about the student's favorite sports, 40% said they like basketball, 10% like chess, 28% like soccer, and the rest said they like badminton. If 250 students were interviewed, how many students identified chess or basketball as their favorite sport?",259,43,in,4,0,0,1,2,0,1,0,0,1,275,42,other,0,-1.0,1.0,1,0.00015725,1,0.0001189,0,3.74e-06,1,1.59044e-05,1,3.328e-05,1,5.5904e-05,1,9.175e-05,1,0.00015066,1,1.545e-05,1,0.00017785
sciq_00039,science,choice,"Cells with different functions often differ in what physical property?
A. weight
B. shape
C. size
D. density",108,18,cells,0,0,0,1,1,0,0,1,0,0,318,47,other,0,-1.0,1.0,1,0.0001145,1,0.0002308,0,3.92e-06,1,1.19604e-05,1,4.77e-05,1,5.136e-05,0,0.000108475,1,0.00014874,1,1.19e-05,0,0.0002022
sciq_00123,science,choice,"What organism constitutes frothy green ""pond scum""?
A. sponges
B. protozoa
C. bacteria
D. algae",95,15,what,0,0,0,1,1,0,1,0,0,0,248,41,other,0,-1.0,1.0,1,0.0001025,1,0.0001908,1,3.38e-06,1,2.72e-05,1,2.604e-05,1,6.227e-05,0,0.0001087,1,7.026e-05,1,1.37e-05,0,0.0002028
strategyqa_385edf4addbd69573540,commonsense,yesno,Is the foot part of the metric system? Answer yes or no.,56,12,is,0,0,0,1,2,0,0,0,1,0,198,34,no,0,-1.0,1.0,1,7.35e-05,1,0.0001123,1,3.02e-06,1,6.986e-06,1,2.43e-05,1,3.256e-05,1,7.76e-05,1,0.00012474,1,9.4e-06,0,0.0001982
sciq_00158,science,choice,"Animals can not produce their own food making them _________.
A. autotrophs
B. photoreliant
C. heterotrophs
D. omnivores",120,18,animals,0,0,0,0,1,0,0,0,1,0,146,22,other,0,-1.0,1.0,1,7.6e-05,1,0.0001804,1,2.77e-06,1,9.5996e-06,1,0.000162,1,4.225e-05,1,7.235e-05,1,0.00020286,1,9.95e-06,0,0.0002036
strategyqa_4fe90b9eab197be78729,commonsense,yesno,Was ethanol beneficial to Jack Kerouac's health? Answer yes or no.,66,12,was,0,0,0,1,4,0,1,0,1,0,288,44,no,0,-1.0,1.0,1,9.1e-05,1,0.0001557,0,3.74e-06,1,9.8172e-06,1,3.66e-05,1,4.407e-05,1,0.000107125,1,0.00018264,1,1.14e-05,0,0.0001986
sciq_00014,science,choice,"What type of shots do people with allergy get?
A. booster shots
B. allergy shots
C. flu shots
D. nasal shots",108,21,what,0,0,0,1,1,0,0,0,0,0,369,60,other,0,-1.0,1.0,1,8.25e-05,1,0.0001392,1,4.7e-06,1,1.846e-05,1,2.328e-05,1,5.025e-05,1,6.3075e-05,1,9.444e-05,1,1.195e-05,0,0.0002028
mmlu_humanities_00123_high_school_world_history,humanities,choice,"This question refers to the following information.
""The real grievance of the worker is the insecurity of his existence; he is not sure that he will always have work, he is not sure that he will always be healthy, and he foresees that he will one day be old and unfit to work. If he falls into poverty, even if only through a prolonged illness, he is then completely helpless, exam_ins to his own devices, and society does not currently recognize any real obligation towards him beyond the usual help for the poor, even if he has been working all the time ever so faithfully and diligently. The usual help for the poor, however, leaves a lot to be desired, especially in large cities, where it is very much worse than in the country.""
Otto von Bismarck, 1884
The long-term effects of Otto von Bismarck's speech include which of the following?
A. Development of socialized programs throughout much of Europe
B. Disunity of the German states
C. Communist overhaul of the eastern parts of Germany
D. A decrease in German economic output",1033,184,this,1,1,0,1,16,0,1,1,1,1,190,29,other,0,-1.0,1.0,1,0.00015825,1,0.0002152,1,4.83e-05,1,2.43384e-05,1,5.957e-05,1,0.00010226,0,0.000123625,1,0.00012132,1,2.61e-05,0,0.0002406
