example_id,task_type,answer_type,prompt,prompt_chars,prompt_words,question_start,num_numbers,has_math_symbols,has_code_like_text,question_mark_count,capitalized_word_count,contains_parenthesis,contains_quote,has_comparison_word,has_negation_word,has_quantity_word,cheap_answer_chars,cheap_answer_words,cheap_parsed_answer,cheap_contains_uncertainty,cheap_self_confidence,cheap_sample_agreement,mistral_nemo_correct,mistral_nemo_cost,qwen_235b_correct,qwen_235b_cost,gemini_flash_correct,gemini_flash_cost,llama_70b_correct,llama_70b_cost,deepseek_v3_correct,deepseek_v3_cost
mmlu_humanities_00014_world_religions,humanities,choice,"Which Guru was martyred when he refused to embrace Islam?
A. Guru Ram Das
B. Guru Tegh Bahadur
C. Guru Gobind Singh
D. Guru Har Rai",131,26,which,0,0,0,1,15,0,0,0,0,0,174,30,other,0,1.0,1.0,1,4.58e-06,1,5.82e-05,1,0.0001019,1,3.565e-05,1,7.201e-05
gsm8k_00105,math,number,"A married couple and their 6 children are ordering some pizza. If the couple want 3 slices each and the children want 1 slice each, how many 4-slice pizzas should they order?",174,33,a,4,1,0,1,1,0,0,0,0,1,313,61,other,0,1.0,1.0,1,5.77e-06,1,6.279e-05,1,0.0002023,1,4.4425e-05,1,8.5e-05
sciq_00004,science,choice,"What is the largest level of organization?
A. organelle
B. genome
C. organism
D. protein",88,15,what,0,0,0,1,1,0,0,0,0,0,389,54,other,0,1.0,1.0,1,4.78e-06,1,4.254e-05,1,0.0002477,1,4.048e-05,1,5.632e-05
mmlu_humanities_00077_high_school_world_history,humanities,choice,"This question refers to the following information.
The city of Ghana consists of two towns. One is inhabited by Muslims and has twelve mosques, salaried imams and muezzins, and jurists and scholars. In the environs are wells with sweet water, from which they drink and with which they grow vegetables. . . . The king's interpreters, the official in charge of his treasury and the majority of his ministers are Muslims. Only royalty may wear sewn clothes. All other people wear robes of cotton, silk, or brocade, according to their means. . . . The king adorns himself like a woman, wearing necklaces round his neck and bracelets on his forearms. . . . He sits . . . in a domed pavilion around which stand ten horses. When people who profess the same religion as the king approach him they fall on their knees and sprinkle dust on their heads, for this is their way of greeting him. As for the Muslims, they greet him only by clapping their hands. [The people's] religion is paganism and the worship of idols. . . . On every donkey-load of salt when it is brought into the country their king levies one golden dinar, and two dinars when it is sent out. From a load of copper the king's due is five mithqals, and from a load of other goods ten mithqals. . . . The nuggets found in all the mines of his country are reserved for the king, only this gold dust being left for the people. But for this the people would accumulate gold until it lost its value. Beyond this country lies another called Malal, the king of which was sincerely attached to Islam, while the common people of his kingdom remained polytheists. Since then their rulers have been given the title of al-musulmani .
—The Book of Routes and Realms , by Abu Ubaydallah al-Bakri, eleventh-century Muslim historian and geographer
Based on the excerpt, which of the following statements correctly describes Islam's influence in Africa during this time period?
A. Imams and muezzins ensured that all Africans adhered to Islamic law.
B. Some elites converted to Islam, but lower classes kept their traditional beliefs.
C. Muslim merchants refused to do business with anyone who was not Muslim.
D. African kings required Muslims to conform to pagan customs at court.",2222,380,this,0,1,0,1,44,0,1,1,1,1,875,138,other,1,0.6,1.0,1,1.729e-05,1,0.00010215,1,0.0003922,1,9.29e-05,1,0.00023223
strategyqa_566d1ac4f66f33b71aee,commonsense,yesno,Are red legs a sign of failing health in those with Anorexia Nervosa? Answer yes or no.,87,17,are,0,0,0,1,4,0,0,0,1,0,486,82,yes,0,0.95,1.0,1,5.29e-06,0,1.1396e-05,1,0.0001247,1,2.7465e-05,1,4.0424e-05
mmlu_humanities_00028_philosophy,humanities,choice,"Stevenson identifies the meaning of a term with:
A. the empirical observations to which it applies.
B. all the psychological causes and effects that attend its utterance.
C. the psychological causes and effects it has a tendency to be connected with.
D. the set of other words that are synonyms to the original word.",316,54,stevenson,0,0,0,0,1,0,0,0,0,1,423,69,other,0,0.95,1.0,0,5.56e-06,1,9.24e-05,1,0.0002931,1,5.6615e-05,1,8.2e-05
gsm8k_00138,math,number,"The teacher brings in 14 mini-cupcakes and 12 donut holes for the class. There are 13 students in the class. If each student gets the exact same amount, how many desserts does each student get?",193,36,the,3,1,0,1,3,0,0,1,0,1,314,55,other,0,1.0,1.0,1,6.32e-06,1,6.48e-05,1,8.69e-05,1,3.422e-05,1,5.871e-05
sciq_00075,science,choice,"A crater can usually be found on the top of what kind of volcanoes?
A. Shield
B. composite
C. Compound
D. Dome",110,22,a,0,0,0,1,3,0,0,0,0,0,365,56,other,0,0.95,1.0,1,5.56e-06,1,8.528e-05,1,0.000197,0,4.544e-05,0,7.922e-05
mmlu_humanities_00070_philosophy,humanities,choice,"Moore defines good as:
A. pleasure.
B. that which we desire.
C. that which we desire to desire.
D. none of the above.",117,23,moore,0,0,0,0,1,0,0,0,0,0,403,75,other,0,0.95,1.0,0,6.4e-06,1,1.6603e-05,1,0.0002935,1,5.238e-05,1,6.157e-05
mmlu_humanities_00134_world_religions,humanities,choice," Which Roman statesman encouraged civic religion in his work The Laws?
A. Varro
B. Plato
C. Cicero
D. Augustus",110,19,which,0,0,0,1,8,0,0,0,0,0,576,96,other,0,0.95,1.0,0,6.43e-06,1,5.608e-05,1,0.0002889,1,4.876e-05,1,5.543e-05
mmlu_humanities_00109_world_religions,humanities,choice," The theological term homoousios means which of the following?
A. of a similar substance
B. of the same substance
C. of like substance
D. of human substance",156,27,the,0,0,0,1,1,0,0,1,0,0,372,60,other,0,1.0,1.0,1,5.94e-06,1,1.7558e-05,1,0.0002916,1,8.222e-05,1,9.325e-05
strategyqa_e3ec5d1638cbf5a6ae53,commonsense,yesno,Would a bodybuilder choose maize over chicken breast for dinner? Answer yes or no.,82,14,would,0,0,0,1,2,0,0,0,1,0,378,64,no,0,0.95,1.0,1,5.34e-06,1,5.24e-05,1,0.0001432,1,2.5855e-05,1,4.362e-05
strategyqa_89da908a20fe2c0cc7b1,commonsense,yesno,Was The Great Gatsby inspired by the novel 1984? Answer yes or no.,66,13,was,1,0,0,1,5,0,0,0,1,0,274,44,no,0,1.0,1.0,1,5.12e-06,1,1.0783e-05,1,0.0001488,1,3.684e-05,1,6.011e-05
